domestic_box_office;opening_weekend;titles
0;;!Women Art Revolution
10965209;5486209;10 Cloverfield Lane
378562;;10 Items or Less
0;;10 Years
41227069;12177488;100 Bloody Acres
1649;1649;100 Streets
21324;1500;1,000 Times Good Night
2125;2125;10,000 BC
99023;3376;10,000 km
6975;3077;1001 Grams
20668843;7736452;ReykjavÃ­k
87939;37318;102 Dalmatians
7570127;4025115;10th & Wolf
807117;80655;11 Flowers
0;;11 Minutes
26814957;8203061;11/8/16
5202;985;12
49088;;12-12-12
7098492;59481;12 Hour Shift
769552;48579;12 Mighty Orphans
79883359;7515402;12 O'Clock Boys
486902;31368;12 Rounds
0;;12 Strong
0;;12 Years a Slave
31847881;72348;12:08 East of Bucharest
832;407;127 Hours
0;;13
21443494;2993519;13 Assassins
10189;1901;13 Going on 30
75624550;9360434;13 Hours: The Secret Soldiers of Benghazi
0;;13 Minutes
145808;10919;13 Sins
303877;18854;13 Tzameti
9178;;13th
3674480;1673921;14 Blades
1088;1088;1408
0;;15 Minutes
0;;16 Blocks
34193;620;16 Years of Alcohol
566853;;17 Again
0;;17 Blocks
0;;17 Girls
2334228;91279;1911
9494;9494;1917
0;;1922
0;;1945
0;;1971
0;;1985
0;;1BR
36010;3707;2 Autumns, 3 Winters
0;;2 Days in New York
0;;2 Days in Paris
0;;2 Fast 2 Furious
0;;2 Guns
0;;2 Jacks
0;;2 or 3 Things I Know About Him
2541854;66232;20 Centimeters
0;;20 Feet from Stardom
409644;194736;20,000 Days on Earth
0;;2012
23248;760;2016: Obama's America
0;;2046
0;;2067
0;;20th Century Women
157768;104374;21
0;;21 and Over
0;;21 Bridges
28782481;9800252;21 Grams
0;;21 Jump Street
25287;10907;21 Years: Richard Linklater
936662225;247966675;211
0;;22 July
0;;22 Jump Street
0;;23 Blast
183637894;474560;24 City
0;;24 Days
0;;24 Exposures
0;;24 Frames
0;;24 Hour Party People
0;;24 Hours on Craigslist
0;;25th Hour
0;;27 Dresses
521365;26746;28 Days
0;;28 Days Later...
0;;28 Hotel Rooms
0;;28 Weeks Later
0;;3
101516;50583;3 1/2 Minutes, 10 Bullets
0;;3, 2, 1... Frankie Go Boom
0;;3 Backyards
0;;3-D Sex and Zen: Extreme Ecstasy
5470235;78104;3 Dancing Slaves
0;;3 Days to Kill
0;;3 Faces
0;;3 Generations
0;;3 Hearts
5102129;1758576;3-Iron
0;;3 Needles
0;;3 Strikes
0;;30 Beats
0;;30 Days of Night
0;;30 Minutes or Less
0;;300
0;;300: Rise of an Empire
0;;3000 Miles to Graceland
0;;306 Hollywood
0;;31
0;;3:10 to Yuma
0;;33 Postcards
0;;35 Shots of Rum
0;;360
0;;39 Pounds of Love
0;;4
0;;4 Days in France
0;;4 Months, 3 Weeks and 2 Days
0;;40 Days and 40 Nights
0;;40 Years in the Making: The Magic Music Movie
0;;42
0;;44 Inch Chest
0;;4:44 Last Day on Earth
0;;45 Years
77776;7321;45365
1014507;422656;47 Meters Down
0;;47 Meters Down: Uncaged
1533324;55347;47 Ronin
0;;49 Up
0;;4th Man Out
209454;92663;5 Broken Cameras
400498;192816;5 Days of War
0;;5 Flights Up
0;;5 Star Day
10763520;2354205;5 to 7
0;;50 First Dates
47836282;7768371;(500) Days of Summer
103053;35363;50/50
0;;51 Birch Street
0;;52 Tuesdays
0;;56 Up
0;;5x2
0;;6 Balloons
0;;6 Days
0;;6 Month Rule
0;;6 Souls
0;;6 Underground
158646;8280;63 Up
0;;69: The Saga of Danny Hernandez
0;;6ixtynin9
0;;7 Boxes
0;;7 Chinese Brothers
0;;7 Days in Entebbe
0;;7 Days in September
0;;7 Minutes
0;;7 Prisoners
0;;'71
0;;71 Fragments of a Chronology of Chance
0;;7500
0;;76 Days
0;;78/52: Hitchcockâs Shower Scene
0;;8 Mile
0;;8: The Mormon Proposition
0;;8 Women
0;;8 Â½ Women
30568743;7411522;800 Bullets
0;;88 Minutes
0;;9
11140;4905;9 Dead Gay Guys
0;;9 Songs
186135;79180;90 Minutes in Heaven
0;;95 Miles to Go
0;;96 Minutes
0;;99 Homes
0;;99%: The Occupy Wall Street Collaborative Film
0;;$9.99
0;;A Bad Moms Christmas
0;;A Bag of Hammers
0;;A Bag of Marbles
0;;A Band Called Death
0;;A Beautiful Day in the Neighborhood
0;;A Beautiful Life
0;;A Beautiful Mind
0;;A Better Life
222001;43952;A Bigger Splash
0;;A Birder's Guide to Everything
0;;A Borrowed Identity
0;;A Bottle in the Gaza Sea (Une bouteille Ã  la mer)
0;;A Boy Called Christmas
0;;A Brave Heart: The Lizzie Velasquez Story
0;;A Bread Factory Part One: For the Sake of Gold
0;;A Bread Factory Part Two: Walk With Me a While
0;;A Brilliant Young Mind
171958438;23523121;A Call to Spy
0;;A Case of You
0;;A Cat in Paris
0;;Ã cause d'un garÃ§on
0;;A Christmas Carol
0;;A Christmas Tale
0;;A Ciambra
0;;A Cinderella Story
0;;A Coffee In Berlin
1447;579;A Common Thread
0;;A Cop Movie
0;;A Country Called Home
0;;A Crooked Somebody
0;;A Cure for Wellness
6235;3256;A Dangerous Method
0;;A Dark Place
0;;A Day Without a Mexican
0;;A Decade Under the Influence
0;;A Decent Factory
0;;A Dirty Shame
0;;A Dog's Journey
0;;A Dog's Purpose
0;;A Dog's Way Home
0;;A Faithful Man
0;;A Fall from Grace
0;;A Family Affair
837791;180920;A Family Affair
0;;A Family Man
21198205;216495;A Fantastic Fear of Everything
0;;A Fantastic Woman
0;;A Field in England
25106325;5584684;A Film Unfinished
0;;A Five Star Life
0;;A Foreign Affair
5560921;1787108;A Fragile Trust
0;;A Futile and Stupid Gesture
3837;1600;A Gay Girl in Damascus: The Amina Profile
0;;A Ghost Story
0;;A Girl Like Her
0;;A Girl Missing
0;;A Girl Walks Home Alone at Night
103804407;17509431;A Glimpse Inside the Mind of Charles Swan III
0;;A Glitch in the Matrix
0;;A Good Baby
0;;A Good Day to Die Hard
0;;A Good Old Fashioned Orgy
0;;A Good Woman
0;;A Good Woman Is Hard to Find
0;;A Good Year
0;;A Gray State
0;;A Guide to Recognizing Your Saints
0;;A Guy Thing
0;;A Happening of Monumental Proportions
0;;A Hard Day
0;;A Haunted House
14915773;224476;A Haunted House 2
0;;A Hidden Life
30376755;9816197;A Hijacking
0;;A History of Violence
0;;A Hole in My Heart
0;;A Hole in One
0;;A Hologram for the King
0;;A Home at the End of the World
0;;A House on a Hill
0;;A Housekeeper
0;;A Jihad for Love
0;;A Journal for Jordan
0;;A Kid Like Jake
0;;A Kind of Murder
81903458;526011;A Knight's Tale
0;;A Land Imagined
0;;A Late Quartet
0;;A League of Ordinary Gentlemen
28780744;2349967;A LEGO Brickumentary
0;;A Letter to Momo
0;;A Letter to True
0;;A Liar's Autobiography - The Untrue Story of Monty Python's Graham Chapman
0;;A Little Bit of Heaven
0;;A Little Chaos
29819114;22849;A Little Help
0;;A Long Way Down
0;;A Lot Like Love
0;;A Love Affair of Sorts
0;;A Love Divided
0;;A Love Song for Bobby Long
17501244;3287451;A Man Apart
0;;A Man Called Ove
0;;A Man Named Pearl
0;;A Man's Gotta Do
0;;A Man's Story
0;;A Master Builder
0;;A Matter of Taste
0;;A Merry Friggin' Christmas
0;;A Midsummer Night's Dream
0;;A Mighty Heart
0;;A Mighty Wind
0;;A Million Little Pieces
0;;A Million Ways to Die in the West
0;;A Monster Calls
187320;10238;A Monster with a Thousand Heads
127195589;21654047;A Most Violent Year
0;;A Most Wanted Man
0;;A Mouthful of Air
0;;A Murder in the Park
190173195;35363376;A Night in Old Mexico
0;;A Nightmare on Elm Street
0;;A Perfect Day
0;;A Perfect Getaway
0;;A Piece of Eden
0;;A Pigeon Sat on a Branch Reflecting on Existence
0;;A Place at the Table
0;;A Poem Is a Naked Person
24449754;4954287;A Prairie Home Companion
0;;A Prayer Before Dawn
0;;A Previous Engagement
0;;A Private War
0;;A Promise
0;;A Prophet
0;;A Quiet Passion
0;;A Quiet Place
25015;636;A Quiet Place Part II
104897530;19928525;A Rainy Day in New York
0;;A Real Young Girl
0;;A River Below
0;;A River Changes Course
0;;A Room for Romeo Brass
39584;39584;A Royal Affair
404508916;36169328;A Royal Night Out
0;;A Rumor of Angels
0;;A Scanner Darkly
0;;A Screaming Man
0;;A Secret
0;;A Secret Love
0;;A Separation
0;;A Serious Man
0;;A Shaun the Sheep Movie: Farmageddon
0;;A Short History of Decay
0;;A Shot at Glory
0;;A Sidewalk Astronomer
0;;
727119;155714;A Silent Voice
0;;A Simple Favor
39282227;6489983;A Simple Life
0;;A Woman, a Gun and a Noodle Shop
0;;A Single Man
1737;1737;A Single Shot
0;;A Sinner in Mecca
