release_date;title;genre;movie_id
January 1st;Bakha Satang;Drama;1
January 12th;Antitrust;Thriller/Suspense;2
January 28th;Santitos;;3
2002 (Wide) by ;Frank McKlusky C.I.;;4
January 25th;A Walk to Remember;Drama;5
June 21st;Zig Zag;;6
May 10th;TakhtÃƒÂ© siah;Drama;7
January 2nd;Angry Monk: Reflections on Tibet, The;Documentary;8
June 7th;30 Years to Life;Comedy;9
January 2nd;The Killing of John Lennon;Drama;10
January 18th;Mad Money;Comedy;11
January 18th;Little Chenier;Drama;12
February 1st;Over Her Dead Body;Comedy;13
February 15th;O Ano em Que Meus Pais SaÃƒÂ­ram de FÃƒÂ©rias;Drama;14
February 15th;120;Drama;15
February 29th;The Other Boleyn Girl;Drama;16
February 29th;A Lawyer Walks into a Bar;Documentary;17
March 8th;La Rondine;Concert/Performance;18
December 30th;Jodaeiye Nader az Simin;Drama;19
December 28th;Pariah;Drama;20
December 25th;War Horse;Drama;21
April 6th;Habemus Papam;Comedy;22
December 29th;Ivan Tsarevich i Seryy Volk;Action;23
December 28th;El Sicario Room 164;Documentary;24
December 25th;Extremely Loud and Incredibly Close;Drama;25
December 30th;Angels Crest;Drama;26
December 28th;Paranormal Xperience;Horror;27
December 25th;The Darkest Hour;Action;28
December 23rd;Miss Minoes;Adventure;29
November 26th;We Bought a Zoo;Drama;30
November 21st;Minuscule - La vallÃƒÂ©e des fourmis perdues;Adventure;31
May 11th;Kiseki;Drama;32
December 23rd;In The Land of Blood and Honey;Drama;33
December 23rd;Prince of the Himalayas;Drama;34
December 22nd;Don 2;Action;35
December 12th;We Are the Giant;Documentary;36
December 31st;Wang Pai;Drama;37
July 24th;The Young Kieslowski;Romantic Comedy;38
June 10th;Last Cab to Darwin;Drama;39
December 12th;Cong cong na nian;Drama;40
July 31st;Ghadi;Comedy;41
July 31st;Fair Play;Drama;42
August 14th;Meru;Documentary;43
August 21st;Station to Station;Documentary;44
August 14th;Karachi se Lahore;Comedy;45
December 4th;Atrapa la bandera;Adventure;46
September 10th;Alma;Romantic Comedy;47
August 28th;Boca Juniors 3D, la pelÃƒÂ­cula;Documentary;48
September 18th;Life of Josutty;Comedy;49
September 9th;Welcome to Leith;Documentary;50
September 25th;Eso que llaman amor;Drama;51
September 18th;The Man Who Saved the World;Documentary;52
December 31st;Yuan Ling Ren Ou;Horror;53
October 2nd;Hip Hop-eration;Documentary;54
October 16th;Kleine Ziege, sturer Bock;Comedy;55
October 9th;Vesvese: Cin Tuzagi;Horror;56
October 16th;Truth;Thriller/Suspense;57
October 30th;Geunomida;Thriller/Suspense;58
October 30th;Wo shi zheng ren;Thriller/Suspense;59
November 6th;Sarancha;Drama;60
May 20th;HÃƒÂ¢monÃƒÂ®;Action;61
November 20th;Dobbiamo parlare;Comedy;62
December 3rd;600 Millas;Thriller/Suspense;63
November 13th;Hot Sugar's Cold World;Documentary;64
October 2nd;Hell & Back;Adventure;65
December 4th;Rajini Murugan;Comedy;66
November 13th;Une Histoire de Fou;Drama;67
December 25th;Point Break;Action;68
October 28th;Desu nÃƒÂ´to: Light Up the New World;Thriller/Suspense;69
November 11th;Disturbing the Peace;Documentary;70
December 18th;Star Wars Ep. VII: The Force Awakens;Adventure;71
November 11th;Doctor Who: The Power of the Daleks;Action;72
December 18th;Le grand jeu;;73
November 25th;Bellas de Noche;Documentary;74
December 25th;The Revenant;Adventure;75
November 25th;The Unmarried Wife;Drama;76
December 2nd;Sha Mo Zhi Xin;;77
December 16th;Poveri ma Ricchi;Comedy;78
November 18th;Nuo Lietuvos nepabÃ„â€”gsi;Drama;79
December 9th;Somewhere Connected;;80
November 29th;Lo peor de los deseos;Drama;81
December 30th;PÃƒÂ¨re fils thÃƒÂ©rapie!;Comedy;82
April 12th;Di Qiu Zui Hou De Ye Wang;Drama;83
December 7th;Doktor Martin: ZÃƒÂ¡hada v Beskydech;Comedy;84
December 30th;Battle of Tortoise and Rabbit;;85
December 30th;Alibaba The Three Golden Hair;Adventure;86
December 29th;Duan Pian Er;Comedy;87
January 4th;Yun Nan Chong Gu Yunnan Valley;Action;88
December 30th;Two Small Pigs Brave The Mysterious Island;Adventure;89
December 28th;Trolled;Adventure;90
December 28th;Tiempo despuÃƒÂ©s;Comedy;91
December 28th;Stan & Ollie;Drama;92
December 28th;The Work Wife;Drama;93
December 28th;Tarp mÃ…Â«sÃ…Â³ mergaiÃ„ï¿½iÃ…Â³;Comedy;94
December 28th;TrileÃƒÂ§e;Drama;95
December 28th;Rio Mekong;Documentary;96
December 28th;Simmba;Action;97
