url;metascore;userscore;rating
https://www.metacritic.com/movie/!women-art-revolution;70;;| Not Rated
https://www.metacritic.com/movie/10-cloverfield-lane;76;7,7;| PG-13
https://www.metacritic.com/movie/10-items-or-less;54;5,8;| R
https://www.metacritic.com/movie/10-years;61;6,9;| R
https://www.metacritic.com/movie/100-bloody-acres;63;7,5;| Not Rated
https://www.metacritic.com/movie/100-streets;44;6,1;
https://www.metacritic.com/movie/1000-times-good-night;57;6,8;| Not Rated
https://www.metacritic.com/movie/10000-bc;34;4,6;| PG-13
https://www.metacritic.com/movie/10000-km;75;7,4;| R
https://www.metacritic.com/movie/1001-grams;65;;| Not Rated
https://www.metacritic.com/movie/101-reykjavik;68;5,4;| Not Rated
https://www.metacritic.com/movie/102-dalmatians;35;5,1;| G
https://www.metacritic.com/movie/10th-wolf;36;6,7;| R
https://www.metacritic.com/movie/11-flowers;71;;| Not Rated
https://www.metacritic.com/movie/11-minutes;51;7,5;| Not Rated
https://www.metacritic.com/movie/11816;62;;| TV-MA
https://www.metacritic.com/movie/12;72;7,4;| PG-13
https://www.metacritic.com/movie/12-12-12;54;;| R
https://www.metacritic.com/movie/12-hour-shift;63;5,8;| Not Rated
https://www.metacritic.com/movie/12-mighty-orphans;44;6,6;| PG-13
https://www.metacritic.com/movie/12-oclock-boys;68;4,6;| Not Rated
https://www.metacritic.com/movie/12-rounds;38;5;| PG-13
https://www.metacritic.com/movie/12-strong;54;6,3;| R
https://www.metacritic.com/movie/12-years-a-slave;96;8;| R
https://www.metacritic.com/movie/1208-east-of-bucharest;77;7,9;| Unrated
https://www.metacritic.com/movie/127-hours;82;8,1;| R
https://www.metacritic.com/movie/13;29;5;| R
https://www.metacritic.com/movie/13-assassins;84;8;| R
https://www.metacritic.com/movie/13-going-on-30;57;7,9;| PG-13
https://www.metacritic.com/movie/13-hours-the-secret-soldiers-of-benghazi;48;7;| R
https://www.metacritic.com/movie/13-minutes;58;6,9;| R
https://www.metacritic.com/movie/13-sins;44;6,7;| R
https://www.metacritic.com/movie/13-tzameti;61;7,4;| Not Rated
https://www.metacritic.com/movie/13th;83;7,7;| TV-MA
https://www.metacritic.com/movie/14-blades;50;;| R
https://www.metacritic.com/movie/1408;64;8,2;| PG-13
https://www.metacritic.com/movie/15-minutes;34;6,2;| R
https://www.metacritic.com/movie/16-blocks;63;7,8;| PG-13
https://www.metacritic.com/movie/16-years-of-alcohol;57;6,1;| R
https://www.metacritic.com/movie/17-again;48;5,9;| PG-13
https://www.metacritic.com/movie/17-blocks;81;;| Not Rated
https://www.metacritic.com/movie/17-girls;61;;| Not Rated
https://www.metacritic.com/movie/1911;37;6,1;| R
https://www.metacritic.com/movie/1917;78;8,4;| R
https://www.metacritic.com/movie/1922;70;6,9;| TV-MA
https://www.metacritic.com/movie/1945;73;7,6;| Not Rated
https://www.metacritic.com/movie/1971;73;7,8;| Not Rated
https://www.metacritic.com/movie/1985;71;8,2;| Not Rated
https://www.metacritic.com/movie/1br;56;6,2;| Not Rated
https://www.metacritic.com/movie/2-autumns-3-winters;75;;| Not Rated
https://www.metacritic.com/movie/2-days-in-new-york;61;5,4;| R
https://www.metacritic.com/movie/2-days-in-paris;67;6,5;| R
https://www.metacritic.com/movie/2-fast-2-furious;38;7,4;| PG-13
https://www.metacritic.com/movie/2-guns;55;6,6;| R
https://www.metacritic.com/movie/2-jacks;38;;| Not Rated
https://www.metacritic.com/movie/2-or-3-things-i-know-about-him;74;;
https://www.metacritic.com/movie/20-centimeters;58;7,3;
https://www.metacritic.com/movie/20-feet-from-stardom;83;7,4;| PG-13
https://www.metacritic.com/movie/20000-days-on-earth;83;6,6;| Not Rated
https://www.metacritic.com/movie/2012;49;5,6;| PG-13
https://www.metacritic.com/movie/2016-obamas-america;26;6,2;| PG
https://www.metacritic.com/movie/2046;78;7,5;| R
https://www.metacritic.com/movie/2067;39;5,5;| Not Rated
https://www.metacritic.com/movie/20th-century-women;83;7,4;| R
https://www.metacritic.com/movie/21;48;6,4;| PG-13
https://www.metacritic.com/movie/21-and-over;34;5,4;| R
https://www.metacritic.com/movie/21-bridges;51;6,1;| R
https://www.metacritic.com/movie/21-grams;70;7,7;| R
https://www.metacritic.com/movie/21-jump-street;69;8;| R
https://www.metacritic.com/movie/21-years-richard-linklater;51;4,9;| Not Rated
https://www.metacritic.com/movie/211;21;3,5;| R
https://www.metacritic.com/movie/22-july;69;6,9;| Not Rated
https://www.metacritic.com/movie/22-jump-street;71;8;| R
https://www.metacritic.com/movie/23-blast;45;3,8;| PG-13
https://www.metacritic.com/movie/24-city;75;7,6;
https://www.metacritic.com/movie/24-days;59;;| Not Rated
https://www.metacritic.com/movie/24-exposures;42;3;| Not Rated
https://www.metacritic.com/movie/24-frames;77;6,8;| Not Rated
https://www.metacritic.com/movie/24-hour-party-people;85;8,8;| TV-MA
https://www.metacritic.com/movie/24-hours-on-craigslist;47;;
https://www.metacritic.com/movie/25th-hour;68;8,6;| R
https://www.metacritic.com/movie/27-dresses;47;5,8;| PG-13
https://www.metacritic.com/movie/28-days;46;6;| PG-13
https://www.metacritic.com/movie/28-days-later;73;7,7;| R
https://www.metacritic.com/movie/28-hotel-rooms;50;5,1;| Not Rated
https://www.metacritic.com/movie/28-weeks-later;78;6,9;| R
https://www.metacritic.com/movie/3;55;6,2;| Not Rated
https://www.metacritic.com/movie/3-12-minutes-10-bullets;77;5,5;| Not Rated
https://www.metacritic.com/movie/3-2-1-frankie-go-boom;51;4,8;| Not Rated
https://www.metacritic.com/movie/3-backyards;69;6,7;| R
https://www.metacritic.com/movie/3-d-sex-and-zen-extreme-ecstasy;36;5,8;| Not Rated
https://www.metacritic.com/movie/3-dancing-slaves;46;;
https://www.metacritic.com/movie/3-days-to-kill;40;5,7;| PG-13
https://www.metacritic.com/movie/3-faces;78;6,4;| Not Rated
https://www.metacritic.com/movie/3-generations;47;3,5;| Not Rated
https://www.metacritic.com/movie/3-hearts;56;5,5;| PG-13
https://www.metacritic.com/movie/3-iron;72;8,3;| R
https://www.metacritic.com/movie/3-needles;48;;| Not Rated
https://www.metacritic.com/movie/3-strikes;11;4,5;| R
https://www.metacritic.com/movie/30-beats;20;;| R
https://www.metacritic.com/movie/30-days-of-night;53;8;| R
https://www.metacritic.com/movie/30-minutes-or-less;49;5,6;| R
https://www.metacritic.com/movie/300;52;7,1;| R
https://www.metacritic.com/movie/300-rise-of-an-empire;48;6;| R
https://www.metacritic.com/movie/3000-miles-to-graceland;21;3,2;| R
https://www.metacritic.com/movie/306-hollywood;66;;| Not Rated
https://www.metacritic.com/movie/31;35;6,9;| R
https://www.metacritic.com/movie/310-to-yuma;76;7,3;| R
https://www.metacritic.com/movie/33-postcards;33;;| Not Rated
https://www.metacritic.com/movie/35-shots-of-rum;92;6,4;| Not Rated
https://www.metacritic.com/movie/360;43;3,7;| R
https://www.metacritic.com/movie/39-pounds-of-love;56;7,3;| Unrated
https://www.metacritic.com/movie/4;72;7,1;
https://www.metacritic.com/movie/4-days-in-france;73;;| Not Rated
https://www.metacritic.com/movie/4-months-3-weeks-and-2-days;97;7,9;| Not Rated
https://www.metacritic.com/movie/40-days-and-40-nights;53;7,5;| R
https://www.metacritic.com/movie/40-years-in-the-making-the-magic-music-movie;68;8,4;| Not Rated
https://www.metacritic.com/movie/42;62;7,5;| PG-13
https://www.metacritic.com/movie/44-inch-chest;47;5,2;| R
https://www.metacritic.com/movie/444-last-day-on-earth;54;4,2;| Not Rated
https://www.metacritic.com/movie/45-years;94;7,3;| Not Rated
https://www.metacritic.com/movie/45365;88;7,4;
https://www.metacritic.com/movie/47-meters-down;52;5,2;| PG-13
https://www.metacritic.com/movie/47-meters-down-uncaged;43;5,1;| PG-13
https://www.metacritic.com/movie/47-ronin;28;6,2;| PG-13
https://www.metacritic.com/movie/49-up;84;8,6;
https://www.metacritic.com/movie/4th-man-out;43;5,9;| Not Rated
https://www.metacritic.com/movie/5-broken-cameras;78;7,4;| Not Rated
https://www.metacritic.com/movie/5-days-of-war;31;1,5;| R
https://www.metacritic.com/movie/5-flights-up;55;6,6;| PG-13
https://www.metacritic.com/movie/5-star-day;41;7,3;| Not Rated
https://www.metacritic.com/movie/5-to-7;52;7,7;| R
https://www.metacritic.com/movie/50-first-dates;48;6,5;| PG-13
https://www.metacritic.com/movie/500-days-of-summer;76;8,1;| PG-13
https://www.metacritic.com/movie/5050;72;8,4;| R
https://www.metacritic.com/movie/51-birch-street;77;7,7;| Unrated
https://www.metacritic.com/movie/52-tuesdays;71;6,9;| Not Rated
https://www.metacritic.com/movie/56-up;83;8,4;| Not Rated
https://www.metacritic.com/movie/5x2;62;6,6;| R
https://www.metacritic.com/movie/6-balloons;66;6,8;| Not Rated
https://www.metacritic.com/movie/6-days;36;7;| R
https://www.metacritic.com/movie/6-month-rule;31;;| R
https://www.metacritic.com/movie/6-souls;28;5,6;| R
https://www.metacritic.com/movie/6-underground;41;5,6;| R
https://www.metacritic.com/movie/63-up;89;7,2;| Not Rated
https://www.metacritic.com/movie/69-the-saga-of-danny-hernandez;53;;| Not Rated
https://www.metacritic.com/movie/6ixtynin9;65;6,5;| R
https://www.metacritic.com/movie/7-boxes;72;8,6;| Not Rated
https://www.metacritic.com/movie/7-chinese-brothers;56;5,1;
https://www.metacritic.com/movie/7-days-in-entebbe;49;5,7;| PG-13
https://www.metacritic.com/movie/7-days-in-september;74;7,4;
https://www.metacritic.com/movie/7-minutes;35;5,4;| Not Rated
https://www.metacritic.com/movie/7-prisoners;80;7,1;| R
https://www.metacritic.com/movie/71;83;7,5;| R
https://www.metacritic.com/movie/71-fragments-of-a-chronology-of-chance;71;7,2;| Not Rated
https://www.metacritic.com/movie/7500-2020;58;6,3;| R
https://www.metacritic.com/movie/76-days;84;;| Not Rated
https://www.metacritic.com/movie/7852-hitchcocks-shower-scene;74;7,9;| Not Rated
https://www.metacritic.com/movie/8-mile;77;8,6;| R
https://www.metacritic.com/movie/8-the-mormon-proposition;55;6,7;| R
https://www.metacritic.com/movie/8-women;64;6,4;| R
https://www.metacritic.com/movie/8-women-2000;36;2,6;| R
https://www.metacritic.com/movie/800-bullets;51;4,9;| R
https://www.metacritic.com/movie/88-minutes;17;4,9;| R
https://www.metacritic.com/movie/9;60;7,2;| PG-13
https://www.metacritic.com/movie/9-dead-gay-guys;21;7,7;| R
https://www.metacritic.com/movie/9-songs;43;5,1;| Not Rated
https://www.metacritic.com/movie/90-minutes-in-heaven;28;2,8;| PG-13
https://www.metacritic.com/movie/95-miles-to-go;46;;| R
https://www.metacritic.com/movie/96-minutes;51;7,4;| R
https://www.metacritic.com/movie/99-homes;76;7,7;| R
https://www.metacritic.com/movie/99-the-occupy-wall-street-collaborative-film;59;;| R
https://www.metacritic.com/movie/999;68;6,6;| R
https://www.metacritic.com/movie/a-bad-moms-christmas;42;4,8;| R
https://www.metacritic.com/movie/a-bag-of-hammers;50;6,8;| Not Rated
https://www.metacritic.com/movie/a-bag-of-marbles;55;7,5;| Not Rated
https://www.metacritic.com/movie/a-band-called-death;77;6,6;| Not Rated
https://www.metacritic.com/movie/a-beautiful-day-in-the-neighborhood;80;7,2;| PG
https://www.metacritic.com/movie/a-beautiful-life;13;1,7;
https://www.metacritic.com/movie/a-beautiful-mind;72;8,1;| PG-13
https://www.metacritic.com/movie/a-better-life;64;7,3;| PG-13
https://www.metacritic.com/movie/a-bigger-splash;74;6,7;| R
https://www.metacritic.com/movie/a-birders-guide-to-everything;61;5,6;| PG-13
https://www.metacritic.com/movie/a-borrowed-identity;73;5,3;| Not Rated
https://www.metacritic.com/movie/a-bottle-in-the-gaza-sea-une-bouteille-s-la-mer;58;;| Not Rated
https://www.metacritic.com/movie/a-boy-called-christmas;61;5,5;| PG
https://www.metacritic.com/movie/a-brave-heart-the-lizzie-velasquez-story;70;5,9;| PG-13
https://www.metacritic.com/movie/a-bread-factory-part-one-for-the-sake-of-gold;91;;
https://www.metacritic.com/movie/a-bread-factory-part-two-walk-with-me-a-while;91;;| Not Rated
https://www.metacritic.com/movie/a-brilliant-young-mind;65;6,7;| Not Rated
https://www.metacritic.com/movie/a-call-to-spy;65;5,7;| PG-13
https://www.metacritic.com/movie/a-case-of-you;38;5,3;| R
https://www.metacritic.com/movie/a-cat-in-paris;63;7;| PG
https://www.metacritic.com/movie/a-cause-dun-garcon;52;6,9;
https://www.metacritic.com/movie/a-christmas-carol;55;7,2;| PG
https://www.metacritic.com/movie/a-christmas-tale;84;6,9;| Not Rated
https://www.metacritic.com/movie/a-ciambra;70;6,6;| NR
https://www.metacritic.com/movie/a-cinderella-story;25;6,6;| PG
https://www.metacritic.com/movie/a-coffee-in-berlin;63;6,1;| Not Rated
https://www.metacritic.com/movie/a-common-thread;63;5,7;
https://www.metacritic.com/movie/a-cop-movie;76;7,3;| Not Rated
https://www.metacritic.com/movie/a-country-called-home;46;5;| Not Rated
https://www.metacritic.com/movie/a-crooked-somebody;74;;| Not Rated
https://www.metacritic.com/movie/a-cure-for-wellness;47;8,2;| R
https://www.metacritic.com/movie/a-dangerous-method;76;6,5;| R
https://www.metacritic.com/movie/a-dark-place;41;;
https://www.metacritic.com/movie/a-day-without-a-mexican;30;3,9;| R
https://www.metacritic.com/movie/a-decade-under-the-influence;67;7,2;| TV-MA
https://www.metacritic.com/movie/a-decent-factory;54;;
https://www.metacritic.com/movie/a-dirty-shame;56;5,3;| NC-17
https://www.metacritic.com/movie/a-dogs-journey;43;7,4;| PG
https://www.metacritic.com/movie/a-dogs-purpose;43;6,2;| PG
https://www.metacritic.com/movie/a-dogs-way-home;50;6;| PG
https://www.metacritic.com/movie/a-faithful-man;67;6;| Not Rated
https://www.metacritic.com/movie/a-fall-from-grace;34;4,8;| Not Rated
https://www.metacritic.com/movie/a-family-affair;50;5,3;
https://www.metacritic.com/movie/a-family-affair-2016;75;;| Not Rated
https://www.metacritic.com/movie/a-family-man;21;5,4;| R
https://www.metacritic.com/movie/a-fantastic-fear-of-everything;31;4,7;| R
https://www.metacritic.com/movie/a-fantastic-woman;86;7;| Not Rated
https://www.metacritic.com/movie/a-field-in-england;73;6,6;| Not Rated
https://www.metacritic.com/movie/a-film-unfinished;88;7,7;| Unrated
https://www.metacritic.com/movie/a-five-star-life;51;4,4;| Not Rated
https://www.metacritic.com/movie/a-foreign-affair;53;6;| PG-13
https://www.metacritic.com/movie/a-fragile-trust;56;;| Not Rated
https://www.metacritic.com/movie/a-futile-and-stupid-gesture;55;6,6;| TV-MA
https://www.metacritic.com/movie/a-gay-girl-in-damascus-the-amina-profile;69;;| Not Rated
https://www.metacritic.com/movie/a-ghost-story;84;7,1;| Not Rated
https://www.metacritic.com/movie/a-girl-like-her;54;6,1;| PG-13
https://www.metacritic.com/movie/a-girl-missing-2020;52;;| NR
https://www.metacritic.com/movie/a-girl-walks-home-alone-at-night;81;7,1;| Not Rated
https://www.metacritic.com/movie/a-glimpse-inside-the-mind-of-charles-swan-iii;28;4,6;| R
https://www.metacritic.com/movie/a-glitch-in-the-matrix;62;5,8;| Not Rated
https://www.metacritic.com/movie/a-good-baby;74;4,3;
https://www.metacritic.com/movie/a-good-day-to-die-hard;28;4,5;| R
https://www.metacritic.com/movie/a-good-old-fashioned-orgy;44;7,5;| R
https://www.metacritic.com/movie/a-good-woman;53;6,5;| PG
https://www.metacritic.com/movie/a-good-woman-is-hard-to-find;65;6,3;| Not Rated
https://www.metacritic.com/movie/a-good-year;47;6,6;| PG-13
https://www.metacritic.com/movie/a-gray-state;74;5,9;| TV-MA
https://www.metacritic.com/movie/a-guide-to-recognizing-your-saints;67;6,9;| R
https://www.metacritic.com/movie/a-guy-thing;27;6;| PG-13
https://www.metacritic.com/movie/a-happening-of-monumental-proportions;35;5;| R
https://www.metacritic.com/movie/a-hard-day;76;7,5;| Not Rated
https://www.metacritic.com/movie/a-haunted-house;20;5;| R
https://www.metacritic.com/movie/a-haunted-house-2;17;3,7;| R
https://www.metacritic.com/movie/a-hidden-life;78;7,4;| Not Rated
https://www.metacritic.com/movie/a-hijacking;82;7,2;| R
https://www.metacritic.com/movie/a-history-of-violence;81;7,4;| R
https://www.metacritic.com/movie/a-hole-in-my-heart;32;;| Unrated
https://www.metacritic.com/movie/a-hole-in-one;37;5,7;
https://www.metacritic.com/movie/a-hologram-for-the-king;58;5,8;| R
https://www.metacritic.com/movie/a-home-at-the-end-of-the-world;59;7,4;| R
https://www.metacritic.com/movie/a-house-on-a-hill;53;;
https://www.metacritic.com/movie/a-housekeeper;68;6,4;| R
https://www.metacritic.com/movie/a-jihad-for-love;55;5,3;| Unrated
https://www.metacritic.com/movie/a-journal-for-jordan;42;4,2;| PG-13
https://www.metacritic.com/movie/a-kid-like-jake;58;5,8;| NR
https://www.metacritic.com/movie/a-kind-of-murder;50;5,6;| R
https://www.metacritic.com/movie/a-knights-tale;56;6,9;| PG-13
https://www.metacritic.com/movie/a-land-imagined;59;;| Not Rated
https://www.metacritic.com/movie/a-late-quartet;67;7,4;| R
https://www.metacritic.com/movie/a-league-of-ordinary-gentlemen;66;5,9;| Not Rated
https://www.metacritic.com/movie/a-lego-brickumentary;51;4,9;| G
https://www.metacritic.com/movie/a-letter-to-momo;65;5,5;| Not Rated
